id,cluster,umap_x,umap_y
NG_063401.1,2,1.8331765,16.787098
NG_063402.1,2,1.7137134,16.824429
NG_063403.1,2,1.7846771,16.742733
NG_068360.1,2,1.7438841,15.720587
NG_065469.1,2,2.8593452,14.45754
NG_065470.1,2,0.9887228,14.997977
NG_063405.1,2,1.7347627,16.916328
NG_242363.1,2,1.9000734,17.284338
NG_065471.1,2,0.97253644,15.034217
NG_065472.1,2,1.0294613,15.03652
NG_062018.1,2,1.567164,16.575775
NG_063407.1,2,1.6644943,16.90422
NG_063408.1,2,1.003546,15.036548
NG_062019.1,2,2.6943276,15.222328
NG_062122.1,2,2.4382443,15.092193
NG_062123.1,2,2.7353344,14.707436
NG_063410.1,2,1.5318979,15.014759
NG_063411.1,2,1.8518311,16.86175
NG_062020.1,2,1.5075917,16.484844
NG_062021.1,2,1.5039921,16.505672
NG_063420.1,2,1.8441789,16.647364
NG_065473.1,2,1.4056729,15.008904
NG_065474.1,2,1.0962274,15.121144
NG_063413.1,2,1.1089149,15.092746
NG_063414.1,2,1.7673595,16.608547
NG_065475.1,2,2.597617,13.428134
NG_062022.1,2,1.6379306,16.535381
NG_063415.1,2,1.5779986,15.2313595
NG_062023.1,2,1.5047597,16.494568
NG_063416.1,2,1.7156423,16.77376
NG_063417.1,2,1.7783277,16.798393
NG_062851.1,2,1.6511117,17.024015
NG_063418.1,2,2.7360756,15.1589575
NG_063419.1,2,1.660932,16.845722
NG_063421.1,2,2.8287442,15.332925
NG_063233.1,2,1.7233673,16.932302
NG_061006.1,-1,1.7923096,2.4823852
NG_061007.1,2,1.6621482,-5.121815
NG_061301.1,2,-0.007366769,12.452057
NG_065804.1,2,-0.41085446,12.195814
NG_062366.1,2,-0.57518935,15.371646
NG_062601.1,2,-2.01613,10.793502
NG_062602.1,2,-1.9813025,10.822495
NG_062603.1,2,-2.0166292,10.795539
NG_062605.1,2,-1.9542392,11.42387
NG_062606.1,2,-2.1283538,10.985666
NG_065476.1,2,-1.0464405,12.036668
NG_228689.1,2,-2.1166384,10.9551525
NG_062607.1,2,-2.041679,11.090297
NG_064805.1,2,3.1552298,16.401466
NG_064806.1,2,3.1836169,16.336094
NG_064807.1,2,3.1835866,16.362694
NG_062604.1,2,-0.84654874,5.6149383
NG_065498.1,2,-2.7827299,5.216994
NG_062600.1,2,-1.4008856,5.6309457
NG_242789.1,2,-2.7223966,5.3169565
NG_064813.1,2,-1.6720065,5.4541597
NG_064814.1,2,-1.641869,5.456072
NG_064799.1,2,1.3397276,16.44558
NG_063453.1,2,-1.8343384,5.5319877
NG_063454.1,2,-0.52771664,14.737187
NG_063455.1,2,-0.47631618,14.749459
NG_062130.1,2,2.4500225,15.132546
NG_062131.1,2,1.7686707,15.664804
NG_064794.1,2,1.5657146,16.501583
NG_064795.1,2,1.5461167,16.516203
NG_065464.1,2,2.3182368,16.803465
NG_064796.1,2,2.3461711,16.750332
NG_064797.1,2,2.4402294,16.714102
NG_064798.1,2,1.4397947,16.276506
NG_065465.1,2,0.56220716,15.486084
NG_064808.1,2,3.257815,16.325302
NG_064809.1,2,3.256916,16.34638
NG_067624.1,2,1.5687952,15.730527
NG_065488.1,2,1.5436032,15.765327
NG_065489.1,2,1.5437165,15.734477
NG_065490.1,2,1.5373113,15.67434
NG_065491.1,2,1.5746849,15.692355
NG_064815.1,2,1.0519632,15.087244
NG_065492.1,2,1.0218964,17.190014
NG_063449.1,2,-0.057121273,13.720566
NG_065485.1,2,-4.3501616,17.74641
NG_065486.1,2,-0.05910323,13.739703
NG_060974.1,2,-4.3223047,17.728413
NG_062363.1,2,-2.0215113,5.3382916
NG_063450.1,2,-1.5999573,5.0887675
NG_065487.1,2,-1.9570019,5.411901
NG_062364.1,2,-1.9579207,5.386447
NG_060975.1,2,0.7382542,16.084454
NG_062365.1,2,-1.9856364,5.4305224
NG_063451.1,2,-0.7464233,11.877655
NG_060976.1,2,-1.9994133,5.325793
NG_060977.1,2,-1.5815966,13.489198
NG_060978.1,2,-4.3228574,17.740196
NG_062129.1,2,-4.3831234,17.727695
NG_063452.1,2,-4.35815,17.729462
NG_062024.1,2,-0.59031534,15.085677
NG_062025.1,2,-0.56411,15.275714
NG_062611.1,2,-0.5165688,15.184173
NG_063471.1,2,-0.5099828,15.146344
NG_063388.1,2,-1.2384704,5.99627
NG_063389.1,2,-1.2088275,6.0367346
NG_062373.1,2,-0.48614907,5.230877
NG_065535.1,2,-1.9371777,5.4200525
NG_063527.1,2,-2.0306108,5.395114
NG_061039.1,2,-2.0045044,5.347721
NG_062374.1,2,-0.5150172,5.290904
NG_063528.1,2,-0.9190246,11.873409
NG_017172.1,2,-0.7336044,15.287256
NG_062042.1,2,-0.49851736,14.806548
NG_063523.1,2,-0.6805581,14.310145
NG_060972.1,2,-1.3082222,12.103795
NG_017192.1,2,-0.44218895,15.373373
NG_064874.1,2,3.115868,16.24688
NG_064876.1,2,3.1339254,16.24171
NG_064817.1,2,1.9945483,16.698101
NG_062371.1,2,1.5794908,16.67158
NG_070685.1,2,1.64899,16.59786
NG_062635.1,2,-0.24883483,11.31491
NG_062636.1,2,2.6236618,13.471339
NG_062637.1,2,-0.15196574,11.540167
NG_062638.1,2,-0.15424849,11.470799
NG_062639.1,2,2.5201309,13.307013
NG_062640.1,2,-0.20906484,11.319369
NG_062641.1,2,-0.20999482,11.741
NG_062645.1,2,-0.9771875,12.351828
NG_016502.1,2,-1.0234097,12.007402
NG_062613.1,2,-2.1206584,10.817607
NG_062614.1,2,-2.1217973,10.832926
NG_062082.1,2,-0.4313357,15.144746
NG_062091.1,2,-0.4271629,15.084771
NG_062090.1,2,-0.48245293,15.075976
NG_062081.1,2,-0.42820984,15.092443
NG_060968.1,2,2.9894052,16.335062
NG_064819.1,2,3.2484365,16.349365
NG_070873.1,2,-0.87245715,12.076829
NG_064877.1,2,-2.0831723,12.325711
NG_062642.1,2,2.0359054,17.001453
NG_065502.1,2,1.534537,15.757712
NG_062643.1,2,3.1554673,16.632267
NG_242790.1,2,-2.7381802,5.3524556
NG_064818.1,2,-2.6602497,5.3005996
NG_064879.1,2,-1.6572244,5.093218
NG_242365.1,2,-1.6291982,5.071809
NG_077396.1,2,-1.3327415,5.647759
NG_060987.1,2,-0.8053513,5.665552
NG_244157.1,2,-0.8457307,5.6791425
NG_064889.1,2,-0.71384865,15.526142
NG_070853.1,2,-1.8802847,12.121127
NG_064884.1,2,-2.5148292,5.0140443
NG_064885.1,2,-2.5110164,5.0249543
NG_065507.1,2,-2.5364234,5.0017796
NG_065508.1,2,-2.4915817,5.0037026
NG_065509.1,2,-2.5001678,4.993038
NG_065510.1,2,-2.4986954,5.0131435
NG_065511.1,2,-2.4742234,4.982777
NG_065512.1,2,1.9686323,15.839583
NG_065513.1,2,1.9258792,15.8053875
NG_062137.1,2,1.8720888,15.626913
NG_062138.1,2,1.8210981,15.582328
NG_065514.1,2,1.9603528,15.813432
NG_065519.1,2,1.9630914,15.791911
NG_065520.1,2,1.9311653,15.803745
NG_065521.1,2,1.9122689,15.753524
NG_065522.1,2,1.9639255,15.87525
NG_065523.1,2,1.9687494,15.843327
NG_065524.1,2,1.8954515,15.740429
NG_064892.1,2,1.935781,17.182371
NG_064893.1,2,1.94293,17.161016
NG_061022.1,2,-0.7490553,12.242205
NG_061023.1,2,-1.6869639,11.87852
NG_061024.1,2,1.7332143,-4.9266505
NG_070904.1,2,-0.9639945,4.5370426
NG_062035.1,2,1.3712802,16.465244
NG_062036.1,2,1.4071261,16.483957
NG_062037.1,2,1.4328147,16.493885
NG_062038.1,2,1.3748393,16.494335
NG_062039.1,2,1.3789529,16.508741
NG_062139.1,2,1.7764271,15.621181
NG_065529.1,2,1.737293,15.616678
NG_064894.1,2,1.9964385,16.571499
NG_062678.1,2,1.6051813,-3.867286
NG_062680.1,2,1.5858737,-3.7987125
NG_062681.1,2,1.5498745,-3.8191478
NG_062677.1,2,-0.53676903,12.146343
NG_017171.1,2,1.1291349,17.038227
NG_017176.1,2,-2.3299463,4.9650044
NG_017179.1,2,-0.55286634,15.15149
NG_070791.1,2,1.485038,16.901215
NG_063525.1,2,-4.35434,17.72969
NG_062142.1,2,0.8936263,16.181137
NG_062144.1,2,0.87196076,16.135128
NG_063526.1,2,1.6722605,16.035189
NG_061035.1,2,-0.49773332,13.862847
NG_062143.1,2,0.96399003,16.21307
NG_070235.1,2,-0.5923862,15.422478
NG_062010.1,2,-0.6564065,14.295842
NG_065478.1,2,0.9989761,14.973476
NG_064810.1,2,2.4353468,16.659224
NG_064811.1,2,2.414419,16.705288
NG_064812.1,2,2.4697776,16.696177
NG_065479.1,2,1.0255685,14.996132
NG_062360.1,2,-2.394211,11.958864
NG_063457.1,2,-1.1744221,15.182426
NG_063458.1,2,-0.8545258,15.741723
NG_063468.1,2,-1.1105645,15.215221
NG_063459.1,2,-1.1515161,15.182127
NG_063460.1,2,-0.45147476,15.194597
NG_062133.1,2,-0.70807564,14.267246
NG_063461.1,2,-0.9998408,15.119956
NG_063462.1,2,-0.9627313,15.233473
NG_060982.1,2,-1.1624584,15.204115
NG_070847.1,2,-0.8407341,15.777949
NG_063464.1,2,-0.53759444,15.185606
NG_063466.1,2,-0.74655837,14.370971
NG_063467.1,2,-0.3893905,14.902578
NG_060984.1,2,-0.7001326,14.579402
NG_063469.1,2,-0.80162627,14.987885
NG_063470.1,2,-1.049655,15.176686
NG_064862.1,-1,-1.4556388,4.187723
NG_067626.1,-1,-1.4435283,4.113131
NG_060981.1,2,-0.05946919,13.762885
NG_063234.1,2,2.9860048,14.118295
NG_063384.1,2,-0.95155907,17.219591
NG_063235.1,2,-0.9468542,17.213165
NG_061010.1,2,0.88009816,15.443543
NG_063520.1,2,-0.062170036,13.748838
NG_060980.1,2,-4.5729194,17.654133
NG_062132.1,2,-1.9958874,5.3292723
NG_063456.1,2,-2.0368748,5.3138146
NG_062608.1,2,-0.48359978,5.155418
NG_064816.1,2,-0.7987043,5.7064867
NG_062609.1,2,-0.7725922,5.646737
NG_060979.1,2,-2.6810167,11.745752
NG_065493.1,2,-0.876724,5.7605143
NG_062610.1,2,-0.80851865,5.6517406
NG_063230.1,2,-2.462922,11.886445
NG_067623.1,2,-2.432621,11.895684
NG_063231.1,2,-2.3784165,11.897651
NG_064801.1,2,-2.423528,11.827081
NG_064802.1,2,-2.4487278,11.875761
NG_063232.1,2,-2.441075,11.9189005
NG_062026.1,2,-0.77286696,14.213938
NG_063474.1,2,-0.52411246,15.226227
NG_062030.1,2,-0.48617342,14.784402
NG_063472.1,2,-0.74151474,15.21289
NG_063473.1,2,-0.5981336,15.4596195
NG_062627.1,2,1.6254679,-5.173717
NG_064865.1,2,1.2620698,-5.2358837
NG_064866.1,2,1.6335726,-5.1134524
NG_062628.1,2,1.2241886,-5.2243395
NG_062629.1,2,1.5243164,-5.1424136
NG_062630.1,2,1.4473041,-5.237465
NG_064867.1,2,1.1849011,-5.165668
NG_062631.1,2,1.1593084,-5.242681
NG_062632.1,2,1.6508813,-5.25448
NG_064868.1,2,1.558107,-5.088972
NG_064863.1,2,-0.33924595,14.845991
NG_061016.1,-1,-2.230661,-4.889719
NG_063517.1,2,-1.0659274,15.162205
NG_062367.1,2,-0.8684894,15.704607
NG_062135.1,2,-1.1424559,15.234685
NG_062134.1,2,-1.0605302,15.2346525
NG_062615.1,2,-0.6772212,14.623318
NG_062616.1,2,-0.56357074,14.750003
NG_060988.1,2,-0.8168281,14.273095
NG_062136.1,2,-0.837523,14.551434
NG_064870.1,2,-0.65631294,14.346779
NG_064871.1,2,-0.4964571,14.793323
NG_064872.1,2,1.4331534,-5.091722
NG_064883.1,2,1.487702,15.095207
NG_064888.1,2,3.3183146,16.170723
NG_065506.1,2,1.9064438,15.8475485
NG_062647.1,2,-0.9686394,11.794611
NG_065497.1,2,-0.056490082,13.726833
NG_063263.1,2,1.8368906,16.283894
NG_063264.1,2,1.8550203,16.302677
NG_065533.1,2,1.10297,15.091127
NG_065496.1,2,-0.045004927,13.711787
NG_063519.1,2,-0.077111974,13.726273
NG_062040.1,2,-1.4611622,11.234741
NG_062676.1,2,-1.4761382,11.167246
NG_061029.1,2,-1.5500948,11.378219
NG_064898.1,2,-1.1463289,11.286222
NG_062684.1,2,-1.0306224,11.370747
NG_061042.1,2,-1.1753844,12.307335
NG_062376.1,2,-0.8457602,11.561291
NG_016527.1,2,-1.4597132,12.250431
NG_061044.1,2,-1.4636065,14.948408
NG_061045.1,2,-0.55840194,15.101086
NG_062124.1,2,2.2553408,16.41764
NG_065477.1,2,1.422198,15.002121
NG_062125.1,2,2.8983948,16.370117
NG_065480.1,2,1.315594,14.700593
NG_062126.1,2,2.1409478,16.53178
NG_065481.1,2,1.4199111,15.021669
NG_063423.1,2,2.9404216,15.538873
NG_062361.1,2,1.803003,16.608383
NG_063424.1,2,2.8623888,16.2101
NG_063425.1,2,2.7944949,16.273678
NG_063426.1,2,2.6499891,16.362171
NG_063427.1,2,1.4438716,15.054767
NG_063428.1,2,1.4767226,15.055426
NG_062127.1,2,2.86847,16.239399
NG_063430.1,2,3.0401864,14.157579
NG_063431.1,2,2.82576,16.234907
NG_063432.1,2,2.9600177,14.383533
NG_063433.1,2,3.0620515,14.945364
NG_062128.1,2,2.2106962,16.307238
NG_063436.1,2,2.3594363,16.412636
NG_063437.1,2,1.3792119,14.912226
NG_063438.1,2,1.9127575,16.74613
NG_063439.1,2,1.257331,15.233218
NG_063440.1,2,1.156187,15.099867
NG_063441.1,2,2.786012,13.73673
NG_065483.1,2,1.4867619,15.524667
NG_070684.1,2,2.93214,14.655265
NG_063442.1,2,1.8578339,16.887875
NG_063443.1,2,1.7274022,15.630376
NG_063444.1,2,1.7124506,15.749086
NG_065484.1,2,1.2923081,15.255268
NG_063445.1,2,1.48366,15.071199
NG_016494.1,2,-0.49437672,12.170625
NG_064860.1,2,-0.36344185,-2.7395432
NG_064861.1,2,-0.33270663,-2.7133718
NG_061013.1,2,-0.26923576,-2.7715135
NG_062626.1,2,2.9617727,16.238241
NG_065499.1,2,1.091518,-5.066413
NG_065495.1,2,0.7546305,14.281169
NG_063479.1,2,2.937967,14.613502
NG_062612.1,2,2.9688423,14.638499
NG_063480.1,2,2.9868984,14.584496
NG_063481.1,2,3.0457985,14.372068
NG_063482.1,2,2.9581175,14.582378
NG_063483.1,2,2.934711,14.6123705
NG_063484.1,2,2.953473,14.572771
NG_063491.1,2,2.9755526,14.580623
NG_063485.1,2,2.9023592,14.611161
NG_063486.1,2,2.9276109,14.666235
NG_063487.1,2,2.914325,14.655309
NG_063488.1,2,2.0053365,16.596193
NG_063489.1,2,2.9602406,14.587811
NG_063490.1,2,2.9460998,14.568835
NG_063492.1,2,3.0133333,14.614153
NG_063493.1,2,2.5680587,17.368599
NG_063494.1,2,2.943512,14.567953
NG_063495.1,2,2.9979534,14.420285
NG_063496.1,2,2.9506774,14.524327
NG_063497.1,2,2.9579349,14.35004
NG_063498.1,2,2.9926085,14.493552
NG_063499.1,2,2.9704318,14.328997
NG_063500.1,2,1.9085711,16.514986
NG_063501.1,2,3.0354471,14.31845
NG_063502.1,2,2.9246957,14.6127825
NG_063503.1,2,2.5512276,17.207346
NG_063504.1,2,2.9487073,14.602494
NG_063505.1,2,3.0133865,14.543831
NG_063507.1,2,2.962494,14.577882
NG_063508.1,2,1.7941109,16.83036
NG_062031.1,2,1.9288846,16.43602
NG_063509.1,2,3.0718052,14.743338
NG_062032.1,2,2.6798062,16.374344
NG_063510.1,2,3.480375,14.687226
NG_063511.1,2,2.6756506,16.081697
NG_063512.1,2,2.4563758,16.638567
NG_063513.1,2,3.5425367,14.6003275
NG_063514.1,2,3.0648391,14.311858
NG_063515.1,2,3.0393357,14.313943
NG_063516.1,2,3.0441642,14.396785
NG_062088.1,2,-0.40444586,15.003666
NG_062086.1,2,-0.38193747,15.037062
NG_062033.1,2,-0.46731403,14.776063
NG_065500.1,2,1.0080214,17.173944
NG_065501.1,2,1.0209416,17.178501
NG_070850.1,2,1.1589841,17.164675
NG_062633.1,2,1.8882751,16.535612
NG_064820.1,2,2.791715,16.289446
NG_063422.1,2,2.7670763,16.305052
NG_065482.1,2,1.1781716,15.073175
NG_062362.1,2,1.7926469,16.418293
NG_063429.1,2,1.4733888,15.087161
NG_063434.1,2,2.8789403,16.218212
NG_063435.1,2,2.9494417,15.55374
NG_013120.1,2,1.8129148,15.689303
NG_063446.1,2,2.8727343,14.495305
NG_063447.1,2,2.9636831,14.56467
NG_063448.1,2,2.9333298,14.488856
NG_063475.1,2,1.1125171,14.300926
NG_063476.1,2,1.0930603,14.276911
NG_063477.1,2,1.0583858,14.362286
NG_063478.1,2,1.1608865,14.33826
NG_078728.1,2,-1.1783043,12.051835
NG_070848.1,2,1.7702953,15.694488
NG_062686.1,2,-0.529599,13.890977
NG_064821.1,2,3.2217007,16.326027
NG_064890.1,2,-0.2019055,11.670346
NG_061028.1,2,0.9151192,17.041067
NG_242791.1,2,2.9730883,14.005286
NG_242792.1,2,2.8032603,16.146814
NG_063236.1,2,2.830119,16.114336
NG_063237.1,2,3.0993474,14.258517
NG_063238.1,2,2.7740786,16.05798
NG_063239.1,2,2.888781,16.12523
NG_242793.1,2,2.9031744,15.85267
NG_063241.1,2,2.9962227,15.157144
NG_063242.1,2,2.9307137,16.194881
NG_242794.1,2,3.1703312,14.384739
NG_063243.1,2,2.9484305,16.199535
NG_063244.1,2,2.892567,16.219114
NG_063245.1,2,2.9501133,16.312515
NG_063246.1,2,3.2580822,14.902638
NG_063247.1,2,3.0895803,15.644636
NG_063248.1,2,2.803818,16.252083
NG_063249.1,2,3.2240262,15.047741
NG_063250.1,2,2.7164319,16.242508
NG_063251.1,2,3.2287443,14.83809
NG_063252.1,2,2.8606632,16.1333
NG_063253.1,2,3.1502128,14.413044
NG_063254.1,2,3.044277,14.341449
NG_242795.1,2,3.0173755,16.240892
NG_063255.1,2,3.059867,16.27533
NG_063256.1,2,2.9933476,16.220514
NG_063257.1,2,3.0257647,16.224358
NG_063258.1,2,3.084169,16.250282
NG_062034.1,2,3.1172917,16.498697
NG_064873.1,2,-0.5545899,14.4963255
NG_067627.1,2,-2.110053,10.777929
NG_061018.1,2,-2.2500725,12.18491
NG_061019.1,2,-2.18263,12.234098
NG_065504.1,2,-0.068646714,-2.2515721
NG_065505.1,2,2.0016048,2.6057174
NG_064887.1,2,-1.8107204,-2.064161
NG_062634.1,2,-2.3337839,11.417622
NG_065531.1,2,1.5646893,15.743404
NG_242796.1,2,1.6217889,15.691388
NG_064881.1,2,1.5620428,-5.0046277
NG_064882.1,2,1.5236391,-4.958995
NG_062655.1,2,1.6764984,15.626886
NG_062656.1,2,1.7258608,15.634863
NG_062666.1,2,-0.045721564,12.027919
NG_062667.1,2,-0.05689652,12.097565
NG_065515.1,2,1.0213293,17.168158
NG_065516.1,2,1.0275054,17.172125
NG_065517.1,2,0.99226767,17.161577
NG_062668.1,2,1.9084404,16.519321
NG_062669.1,2,1.6856569,16.373867
NG_064897.1,2,3.2304928,16.054873
NG_065534.1,2,1.1634948,15.094671
NG_065532.1,2,1.6572567,16.537682
NG_013131.1,2,1.7549406,-5.04677
NG_062646.1,2,1.7955052,-5.02619
NG_062670.1,2,-4.2898407,17.74494
NG_061011.1,2,1.0593503,17.12242
NG_017168.1,2,1.0158696,17.061745
NG_062671.1,2,-0.45328894,13.825242
NG_061026.1,2,1.3094132,16.960901
NG_017174.1,2,1.3346639,17.033098
NG_012432.1,2,-0.870486,11.5060425
NG_070874.1,2,-0.49624124,15.036842
NG_064891.1,2,1.1306037,-5.245452
NG_017166.1,2,1.078816,16.736757
NG_013154.1,2,-2.2087018,5.093779
NG_017173.1,2,-0.4626836,15.56731
NG_013175.1,2,-1.8690188,5.475876
NG_065525.1,2,-2.1458042,5.193713
NG_065526.1,2,-2.3561597,5.092224
NG_062657.1,2,-0.4341159,5.174598
NG_062658.1,2,-0.46827987,5.1381187
NG_062659.1,2,-0.4709132,5.1779213
NG_062372.1,2,-0.92267364,5.7864447
NG_061025.1,2,-1.4415354,3.7487226
NG_062660.1,-1,-0.88943493,-1.003466
NG_065530.1,2,-0.6256786,5.070219
NG_062661.1,2,-0.3848977,5.2015243
NG_062662.1,2,-0.7726342,5.6471415
NG_062663.1,2,-2.9772465,11.302407
NG_062804.1,2,-2.4273062,11.974441
NG_062664.1,2,-2.4070282,11.690246
NG_062665.1,2,-1.7969004,11.8344965
NG_064896.1,2,-1.3233924,13.136776
NG_067628.1,2,-0.08613638,12.714474
NG_065527.1,2,1.8997802,15.729094
NG_065528.1,2,1.9032757,15.74783
NG_063260.1,2,1.896931,15.74301
NG_063261.1,2,1.8906041,15.847604
NG_063262.1,2,1.9219134,15.83092
NG_062650.1,-1,-0.28454325,-2.0557358
NG_062651.1,2,-0.36160785,-1.9561669
NG_062652.1,-1,-0.23733176,-1.8140419
NG_062653.1,-1,-0.39827934,-1.962042
NG_062654.1,-1,-0.31892815,-1.9669739
NG_062145.1,2,0.77067024,16.102776
NG_064899.1,2,-2.1924024,5.5112205
NG_070875.1,2,-1.4815292,5.8783364
NG_062693.1,2,-1.5324004,5.164803
NG_065536.1,2,-2.47117,11.81816
NG_062694.1,-1,-0.4274685,-1.9023997
NG_062695.1,2,-0.93935174,5.2011013
NG_062691.1,2,-1.9267378,5.4900374
NG_062692.1,-1,-0.764875,-3.734068
NG_062685.1,2,-0.9195417,12.486183
NG_062375.1,2,-0.6549229,12.454472
NG_062696.1,2,-1.1769531,12.314812
NG_065503.1,2,0.989697,15.006728
NG_062618.1,2,-0.95255506,17.220232
NG_064824.1,2,-0.95517826,17.228096
NG_062620.1,2,-0.94922376,17.216991
NG_062621.1,2,-0.952606,17.217321
NG_062622.1,2,-0.9545054,17.224014
NG_062623.1,2,-0.9868427,17.259405
NG_062624.1,2,-0.9657808,17.233864
NG_070687.1,2,0.9981151,16.982706
NG_061053.1,2,1.0133048,16.782293
NG_062377.1,2,-0.5176188,13.86333
NG_061048.1,2,1.5113891,-3.9362292
NG_061049.1,2,1.4922464,-3.9517834
NG_077399.1,2,1.5427854,-3.867157
NG_062146.1,2,-0.9418026,11.947511
NG_064902.1,2,-0.18192276,-1.4014549
NG_065537.1,2,1.9144366,17.099249
NG_062724.1,2,0.2515375,-2.276351
NG_062725.1,2,0.18304409,-2.258704
NG_062721.1,2,0.26487887,-2.3187768
NG_062722.1,2,0.22753821,-2.3141105
NG_062723.1,2,0.27660787,-2.394653
NG_013192.1,2,-0.16280423,11.005821
NG_013193.1,2,-0.17027855,11.018791
NG_062147.1,2,-0.8453419,15.687797
NG_062048.1,2,-0.42521194,15.266772
NG_062726.1,2,-4.3613744,17.760637
NG_064906.1,2,-0.64913833,15.496262
NG_064895.1,2,-0.6640907,12.181959
NG_061043.1,2,-0.61705804,4.7935915
NG_062043.1,2,-0.5673823,4.808328
NG_062689.1,2,-2.7115993,11.548906
NG_062690.1,2,-2.5501413,5.0237536
NG_064825.1,2,-2.7592623,5.4067984
NG_062727.1,2,-1.2951269,5.3274817
NG_062728.1,2,-1.3378453,5.345553
NG_062697.1,2,-2.320464,4.948464
NG_062698.1,2,-2.3351007,4.897058
NG_062699.1,2,-2.2774148,4.940093
NG_062700.1,2,-2.337308,4.992025
NG_062701.1,2,-2.415681,5.0026336
NG_062703.1,2,-1.9622985,4.551038
NG_062704.1,2,1.456808,16.017462
NG_062705.1,2,-2.2890556,4.983932
NG_062706.1,2,1.5346978,16.006025
NG_062707.1,2,-2.3560562,5.0118585
NG_061052.1,2,-2.406671,5.005093
NG_062708.1,2,1.5362321,16.019884
NG_062045.1,2,-2.4092317,5.0157056
NG_062709.1,2,-2.370231,4.9258804
NG_242797.1,2,-2.428044,4.9083853
NG_062710.1,2,-2.245976,5.102216
NG_062711.1,2,-2.4250507,4.991133
NG_062712.1,2,2.064311,16.682146
NG_062713.1,2,2.162008,16.473217
NG_062714.1,2,-1.3515664,12.452038
NG_016501.1,2,-1.5159955,3.7195656
NG_062715.1,2,2.5368266,13.309838
NG_062716.1,2,-1.107173,5.173281
NG_062717.1,2,-1.1621166,11.131024
